context,conversation_turn,score
"Facet: Risktaking; Definition: Risktaking refers to the willingness to engage in behaviors that have uncertain outcomes, where potential gains are accompanied by potential losses or negative consequences.; Rubric: 1: Averse | 2: Cautious | 3: Balanced | 4: Adventurous | 5: Daring","I usually stick to the safest option, even if it means missing out on bigger opportunities.",1
"Facet: Comparing alphanumeric data; Definition: The cognitive process of evaluating the similarities, differences, or relationships between two or more sequences of characters that include both letters and numbers (alphanumeric strings). This facet assesses an individual's efficiency, accuracy, and speed in tasks requiring the identification of matches, discrepancies, or verification of alphanumeric information, drawing upon attention, working memory, and pattern recognition.; Rubric: 1: Frequent Errors | 2: Slow & Hesitant | 3: Generally Accurate | 4: Efficient & Precise | 5: Rapid & Flawless","It takes me a while to go through each of these part numbers, double-checking every character, so I'm a bit slower than the others.",2
"Facet: Comparing alphanumeric data; Definition: The cognitive process of evaluating the similarities, differences, or relationships between two or more sequences of characters that include both letters and numbers (alphanumeric strings). This facet assesses an individual's efficiency, accuracy, and speed in tasks requiring the identification of matches, discrepancies, or verification of alphanumeric information, drawing upon attention, working memory, and pattern recognition.; Rubric: 1: Frequent Errors | 2: Slow & Hesitant | 3: Generally Accurate | 4: Efficient & Precise | 5: Rapid & Flawless","I can usually spot the differences between these serial numbers without too much trouble, though I might need to re-read them once or twice.",3
"Facet: Comparing alphanumeric data; Definition: The cognitive process of evaluating the similarities, differences, or relationships between two or more sequences of characters that include both letters and numbers (alphanumeric strings). This facet assesses an individual's efficiency, accuracy, and speed in tasks requiring the identification of matches, discrepancies, or verification of alphanumeric information, drawing upon attention, working memory, and pattern recognition.; Rubric: 1: Frequent Errors | 2: Slow & Hesitant | 3: Generally Accurate | 4: Efficient & Precise | 5: Rapid & Flawless","I can quickly scan these data entries and pinpoint any mismatches in the account numbers, rarely missing an error.",4
"Facet: Comparing alphanumeric data; Definition: The cognitive process of evaluating the similarities, differences, or relationships between two or more sequences of characters that include both letters and numbers (alphanumeric strings). This facet assesses an individual's efficiency, accuracy, and speed in tasks requiring the identification of matches, discrepancies, or verification of alphanumeric information, drawing upon attention, working memory, and pattern recognition.; Rubric: 1: Frequent Errors | 2: Slow & Hesitant | 3: Generally Accurate | 4: Efficient & Precise | 5: Rapid & Flawless",I breeze through comparing these complex invoice IDs; my eyes just seem to instantly pick out any discrepancies.,5
"Facet: Big-heartedness; Definition: Big-heartedness is the quality of being exceptionally generous, kind, and compassionate, characterized by a strong inclination to help others, often selflessly, and demonstrate broad empathy and benevolence.; Rubric: 1: Self-focused | 2: Occasionally considerate | 3: Generally kind | 4: Proactively generous | 5: Selfless & benevolent","Honestly, I don't really think about other people's problems much; I've got enough on my own plate.",1
"Facet: Big-heartedness; Definition: Big-heartedness is the quality of being exceptionally generous, kind, and compassionate, characterized by a strong inclination to help others, often selflessly, and demonstrate broad empathy and benevolence.; Rubric: 1: Self-focused | 2: Occasionally considerate | 3: Generally kind | 4: Proactively generous | 5: Selfless & benevolent","Yeah, I might help out if someone asks directly, but I'm not usually looking for opportunities to volunteer.",2
"Facet: Big-heartedness; Definition: Big-heartedness is the quality of being exceptionally generous, kind, and compassionate, characterized by a strong inclination to help others, often selflessly, and demonstrate broad empathy and benevolence.; Rubric: 1: Self-focused | 2: Occasionally considerate | 3: Generally kind | 4: Proactively generous | 5: Selfless & benevolent","I try to be a good neighbor and will lend a hand if I see someone struggling, though I won't go out of my way.",3
"Facet: Big-heartedness; Definition: Big-heartedness is the quality of being exceptionally generous, kind, and compassionate, characterized by a strong inclination to help others, often selflessly, and demonstrate broad empathy and benevolence.; Rubric: 1: Self-focused | 2: Occasionally considerate | 3: Generally kind | 4: Proactively generous | 5: Selfless & benevolent","I often look for ways to support my friends and community, like organizing a fundraiser or offering my time before being asked.",4
"Facet: Big-heartedness; Definition: Big-heartedness is the quality of being exceptionally generous, kind, and compassionate, characterized by a strong inclination to help others, often selflessly, and demonstrate broad empathy and benevolence.; Rubric: 1: Self-focused | 2: Occasionally considerate | 3: Generally kind | 4: Proactively generous | 5: Selfless & benevolent","My greatest joy comes from helping others, even if it means personal sacrifice; I believe in giving back whenever and wherever I can.",5
"Facet: Compulsive activities; Definition: Repetitive behaviors or mental acts that an individual feels driven to perform in response to an obsession, or according to rules that must be applied rigidly. These activities are aimed at preventing or reducing distress or a dreaded event, but are often excessive, time-consuming, and not realistically connected to their intended outcome, frequently causing significant impairment or distress.; Rubric: 1: Absence | 2: Rare/Minor | 3: Occasional/Manageable | 4: Frequent/Disruptive | 5: Pervasive/Impairing",I rarely find myself doing things out of pure compulsion; I usually have good control over my actions and can easily adapt.,1
"Facet: Compulsive activities; Definition: Repetitive behaviors or mental acts that an individual feels driven to perform in response to an obsession, or according to rules that must be applied rigidly. These activities are aimed at preventing or reducing distress or a dreaded event, but are often excessive, time-consuming, and not realistically connected to their intended outcome, frequently causing significant impairment or distress.; Rubric: 1: Absence | 2: Rare/Minor | 3: Occasional/Manageable | 4: Frequent/Disruptive | 5: Pervasive/Impairing","Sometimes I double-check if the door is locked, but it's usually just once and I move on quickly without much thought.",2
"Facet: Compulsive activities; Definition: Repetitive behaviors or mental acts that an individual feels driven to perform in response to an obsession, or according to rules that must be applied rigidly. These activities are aimed at preventing or reducing distress or a dreaded event, but are often excessive, time-consuming, and not realistically connected to their intended outcome, frequently causing significant impairment or distress.; Rubric: 1: Absence | 2: Rare/Minor | 3: Occasional/Manageable | 4: Frequent/Disruptive | 5: Pervasive/Impairing","I have a few rituals, like organizing my desk just so before starting work, but I can usually skip them if I'm in a hurry without much fuss.",3
"Facet: Compulsive activities; Definition: Repetitive behaviors or mental acts that an individual feels driven to perform in response to an obsession, or according to rules that must be applied rigidly. These activities are aimed at preventing or reducing distress or a dreaded event, but are often excessive, time-consuming, and not realistically connected to their intended outcome, frequently causing significant impairment or distress.; Rubric: 1: Absence | 2: Rare/Minor | 3: Occasional/Manageable | 4: Frequent/Disruptive | 5: Pervasive/Impairing","My need to check all the appliances repeatedly before leaving the house often makes me late, and it's quite frustrating.",4
"Facet: Compulsive activities; Definition: Repetitive behaviors or mental acts that an individual feels driven to perform in response to an obsession, or according to rules that must be applied rigidly. These activities are aimed at preventing or reducing distress or a dreaded event, but are often excessive, time-consuming, and not realistically connected to their intended outcome, frequently causing significant impairment or distress.; Rubric: 1: Absence | 2: Rare/Minor | 3: Occasional/Manageable | 4: Frequent/Disruptive | 5: Pervasive/Impairing","I spend hours every day washing my hands until they're raw, and the constant intrusive thoughts make it almost impossible for me to focus on anything else or even leave the house sometimes.",5
"Facet: Disrespect; Definition: Disrespect is the behavioral manifestation of a lack of regard, consideration, or deference towards an individual, group, or concept. It often involves actions or words that undermine their perceived value, dignity, or authority, ranging from subtle dismissiveness to overt contempt, and can violate social norms, personal boundaries, or established hierarchies.; Rubric: 1: Respectful | 2: Minor oversight | 3: Casual dismissal | 4: Overt belittling | 5: Hostile contempt","Even though we had different opinions, she listened carefully to my points and didn't interrupt.",1
"Facet: Disrespect; Definition: Disrespect is the behavioral manifestation of a lack of regard, consideration, or deference towards an individual, group, or concept. It often involves actions or words that undermine their perceived value, dignity, or authority, ranging from subtle dismissiveness to overt contempt, and can violate social norms, personal boundaries, or established hierarchies.; Rubric: 1: Respectful | 2: Minor oversight | 3: Casual dismissal | 4: Overt belittling | 5: Hostile contempt","Oops, I must have forgotten you mentioned that; my apologies, I didn't mean to ignore it.",2
"Facet: Disrespect; Definition: Disrespect is the behavioral manifestation of a lack of regard, consideration, or deference towards an individual, group, or concept. It often involves actions or words that undermine their perceived value, dignity, or authority, ranging from subtle dismissiveness to overt contempt, and can violate social norms, personal boundaries, or established hierarchies.; Rubric: 1: Respectful | 2: Minor oversight | 3: Casual dismissal | 4: Overt belittling | 5: Hostile contempt","Yeah, I heard what you said, but honestly, I'm just going to do it my way regardless.",3
"Facet: Disrespect; Definition: Disrespect is the behavioral manifestation of a lack of regard, consideration, or deference towards an individual, group, or concept. It often involves actions or words that undermine their perceived value, dignity, or authority, ranging from subtle dismissiveness to overt contempt, and can violate social norms, personal boundaries, or established hierarchies.; Rubric: 1: Respectful | 2: Minor oversight | 3: Casual dismissal | 4: Overt belittling | 5: Hostile contempt",Why are you even bothering me with this? It's clearly a waste of my time.,4
"Facet: Disrespect; Definition: Disrespect is the behavioral manifestation of a lack of regard, consideration, or deference towards an individual, group, or concept. It often involves actions or words that undermine their perceived value, dignity, or authority, ranging from subtle dismissiveness to overt contempt, and can violate social norms, personal boundaries, or established hierarchies.; Rubric: 1: Respectful | 2: Minor oversight | 3: Casual dismissal | 4: Overt belittling | 5: Hostile contempt","Your ideas are completely worthless, and frankly, you're an idiot for even suggesting them.",5
"Facet: FSH level; Definition: FSH level refers to the concentration of Follicle-Stimulating Hormone in the blood, serving as a key physiological indicator of reproductive health and gonadal function in both men and women. Its levels inform understanding of fertility potential, onset of menopause, and potential hormonal imbalances, thereby influencing health management decisions and emotional states related to reproductive status.; Rubric: 1: Suppressed | 2: Adequate | 3: Optimal | 4: Elevated | 5: Depleted","The doctor said my FSH was surprisingly low, suggesting my brain might not be sending the right signals to my reproductive organs.",1
"Facet: FSH level; Definition: FSH level refers to the concentration of Follicle-Stimulating Hormone in the blood, serving as a key physiological indicator of reproductive health and gonadal function in both men and women. Its levels inform understanding of fertility potential, onset of menopause, and potential hormonal imbalances, thereby influencing health management decisions and emotional states related to reproductive status.; Rubric: 1: Suppressed | 2: Adequate | 3: Optimal | 4: Elevated | 5: Depleted","My recent FSH test came back in a good, adequate range, so we're still hopeful about our family planning.",2
"Facet: FSH level; Definition: FSH level refers to the concentration of Follicle-Stimulating Hormone in the blood, serving as a key physiological indicator of reproductive health and gonadal function in both men and women. Its levels inform understanding of fertility potential, onset of menopause, and potential hormonal imbalances, thereby influencing health management decisions and emotional states related to reproductive status.; Rubric: 1: Suppressed | 2: Adequate | 3: Optimal | 4: Elevated | 5: Depleted","My endocrinologist confirmed my FSH levels were perfectly optimal, which is great news for my overall hormonal balance.",3
"Facet: FSH level; Definition: FSH level refers to the concentration of Follicle-Stimulating Hormone in the blood, serving as a key physiological indicator of reproductive health and gonadal function in both men and women. Its levels inform understanding of fertility potential, onset of menopause, and potential hormonal imbalances, thereby influencing health management decisions and emotional states related to reproductive status.; Rubric: 1: Suppressed | 2: Adequate | 3: Optimal | 4: Elevated | 5: Depleted","My fertility specialist mentioned my FSH was a bit elevated for my age, which could indicate my ovarian reserve is starting to decline.",4
"Facet: FSH level; Definition: FSH level refers to the concentration of Follicle-Stimulating Hormone in the blood, serving as a key physiological indicator of reproductive health and gonadal function in both men and women. Its levels inform understanding of fertility potential, onset of menopause, and potential hormonal imbalances, thereby influencing health management decisions and emotional states related to reproductive status.; Rubric: 1: Suppressed | 2: Adequate | 3: Optimal | 4: Elevated | 5: Depleted","After getting my FSH results, it's pretty clear I'm in menopause; the numbers were very high, indicating my ovaries are no longer actively responding.",5
"Facet: Self Perspective; Definition: Self Perspective refers to an individual's internal view and understanding of themselves, encompassing their self-concept, self-esteem, self-efficacy, and how they perceive their identity, capabilities, and value in relation to others and the world.; Rubric: 1: Diminished | 2: Hesitant | 3: Balanced | 4: Confident | 5: Empowered",I just don't think I'm good enough to even try for that promotion; I'd probably mess it up anyway.,1
"Facet: Self Perspective; Definition: Self Perspective refers to an individual's internal view and understanding of themselves, encompassing their self-concept, self-esteem, self-efficacy, and how they perceive their identity, capabilities, and value in relation to others and the world.; Rubric: 1: Diminished | 2: Hesitant | 3: Balanced | 4: Confident | 5: Empowered","I'm not entirely sure I can handle this new project, but I guess I could give it a shot.",2
"Facet: Self Perspective; Definition: Self Perspective refers to an individual's internal view and understanding of themselves, encompassing their self-concept, self-esteem, self-efficacy, and how they perceive their identity, capabilities, and value in relation to others and the world.; Rubric: 1: Diminished | 2: Hesitant | 3: Balanced | 4: Confident | 5: Empowered","I recognize my strengths and weaknesses, and I believe I have the skills to contribute meaningfully to the team.",3
"Facet: Self Perspective; Definition: Self Perspective refers to an individual's internal view and understanding of themselves, encompassing their self-concept, self-esteem, self-efficacy, and how they perceive their identity, capabilities, and value in relation to others and the world.; Rubric: 1: Diminished | 2: Hesitant | 3: Balanced | 4: Confident | 5: Empowered",I'm confident in my abilities to tackle this challenge and I'm looking forward to proving what I can do.,4
"Facet: Self Perspective; Definition: Self Perspective refers to an individual's internal view and understanding of themselves, encompassing their self-concept, self-esteem, self-efficacy, and how they perceive their identity, capabilities, and value in relation to others and the world.; Rubric: 1: Diminished | 2: Hesitant | 3: Balanced | 4: Confident | 5: Empowered","I know my unique value and capabilities, and I'm absolutely ready to lead this initiative and make a significant impact.",5
"Facet: Desperation; Definition: Desperation is a state of mind characterized by an intense feeling of urgency, a loss of hope, and a willingness to take extreme or risky measures to escape a difficult, dangerous, or seemingly insurmountable situation. It often arises from a perception of having no other viable options.; Rubric: 1: Calm | 2: Concerned | 3: Anxious | 4: Panicked | 5: Reckless","Despite the setback, she remained calm and began systematically exploring new avenues to achieve her goal.",1
"Facet: Desperation; Definition: Desperation is a state of mind characterized by an intense feeling of urgency, a loss of hope, and a willingness to take extreme or risky measures to escape a difficult, dangerous, or seemingly insurmountable situation. It often arises from a perception of having no other viable options.; Rubric: 1: Calm | 2: Concerned | 3: Anxious | 4: Panicked | 5: Reckless","He's concerned about the dwindling resources, so he's proactively looking for sustainable alternatives.",2
"Facet: Desperation; Definition: Desperation is a state of mind characterized by an intense feeling of urgency, a loss of hope, and a willingness to take extreme or risky measures to escape a difficult, dangerous, or seemingly insurmountable situation. It often arises from a perception of having no other viable options.; Rubric: 1: Calm | 2: Concerned | 3: Anxious | 4: Panicked | 5: Reckless","With the deadline looming and few options left, she's feeling quite anxious about completing the project on time.",3
"Facet: Desperation; Definition: Desperation is a state of mind characterized by an intense feeling of urgency, a loss of hope, and a willingness to take extreme or risky measures to escape a difficult, dangerous, or seemingly insurmountable situation. It often arises from a perception of having no other viable options.; Rubric: 1: Calm | 2: Concerned | 3: Anxious | 4: Panicked | 5: Reckless","After all his efforts failed, he's now in a panicked state, considering highly risky investments as a last resort.",4
"Facet: Desperation; Definition: Desperation is a state of mind characterized by an intense feeling of urgency, a loss of hope, and a willingness to take extreme or risky measures to escape a difficult, dangerous, or seemingly insurmountable situation. It often arises from a perception of having no other viable options.; Rubric: 1: Calm | 2: Concerned | 3: Anxious | 4: Panicked | 5: Reckless","Feeling completely trapped and without any hope, he made a reckless decision to abandon everything and disappear.",5
"Facet: Affiliation Motivation; Definition: Affiliation motivation is the drive to establish, maintain, or restore positive affective relationships with others. It reflects an individual's desire for social connection, belonging, acceptance, and cooperation, often manifesting as a need to be part of a group or to form close interpersonal bonds.; Rubric: 1: Independent | 2: Selectively Social | 3: Group-Oriented | 4: Collaborative | 5: Community-Driven",I generally prefer to work on projects by myself; I find groups can sometimes complicate things unnecessarily.,1
"Facet: Affiliation Motivation; Definition: Affiliation motivation is the drive to establish, maintain, or restore positive affective relationships with others. It reflects an individual's desire for social connection, belonging, acceptance, and cooperation, often manifesting as a need to be part of a group or to form close interpersonal bonds.; Rubric: 1: Independent | 2: Selectively Social | 3: Group-Oriented | 4: Collaborative | 5: Community-Driven","I enjoy spending time with a close-knit group of friends, but I'm not really one for large parties or constant social engagements.",2
"Facet: Affiliation Motivation; Definition: Affiliation motivation is the drive to establish, maintain, or restore positive affective relationships with others. It reflects an individual's desire for social connection, belonging, acceptance, and cooperation, often manifesting as a need to be part of a group or to form close interpersonal bonds.; Rubric: 1: Independent | 2: Selectively Social | 3: Group-Oriented | 4: Collaborative | 5: Community-Driven","I like both working independently and collaborating with others, depending on what the task requires.",3
"Facet: Affiliation Motivation; Definition: Affiliation motivation is the drive to establish, maintain, or restore positive affective relationships with others. It reflects an individual's desire for social connection, belonging, acceptance, and cooperation, often manifesting as a need to be part of a group or to form close interpersonal bonds.; Rubric: 1: Independent | 2: Selectively Social | 3: Group-Oriented | 4: Collaborative | 5: Community-Driven",I always try to involve my team members and make sure everyone feels heard; I believe we achieve more when we work together.,4
"Facet: Affiliation Motivation; Definition: Affiliation motivation is the drive to establish, maintain, or restore positive affective relationships with others. It reflects an individual's desire for social connection, belonging, acceptance, and cooperation, often manifesting as a need to be part of a group or to form close interpersonal bonds.; Rubric: 1: Independent | 2: Selectively Social | 3: Group-Oriented | 4: Collaborative | 5: Community-Driven",My greatest satisfaction comes from building strong connections and fostering a sense of community wherever I go; I thrive on social interaction and belonging.,5
"Facet: Anatomy knowledge; Definition: Anatomy knowledge refers to the understanding and recall of the structure, location, and interrelationships of the various components of the human body, including organs, bones, muscles, tissues, and systems.; Rubric: 1: Unaware | 2: Basic awareness | 3: Functional recall | 4: Detailed understanding | 5: Expert comprehension","Honestly, I have no idea where my appendix is, let alone what it does.",1
"Facet: Anatomy knowledge; Definition: Anatomy knowledge refers to the understanding and recall of the structure, location, and interrelationships of the various components of the human body, including organs, bones, muscles, tissues, and systems.; Rubric: 1: Unaware | 2: Basic awareness | 3: Functional recall | 4: Detailed understanding | 5: Expert comprehension","I know the heart is in your chest and the brain is in your head, but I couldn't really tell you much more than that.",2
"Facet: Anatomy knowledge; Definition: Anatomy knowledge refers to the understanding and recall of the structure, location, and interrelationships of the various components of the human body, including organs, bones, muscles, tissues, and systems.; Rubric: 1: Unaware | 2: Basic awareness | 3: Functional recall | 4: Detailed understanding | 5: Expert comprehension","I can identify most of the major organs and bones, and I know the difference between the circulatory and digestive systems.",3
"Facet: Anatomy knowledge; Definition: Anatomy knowledge refers to the understanding and recall of the structure, location, and interrelationships of the various components of the human body, including organs, bones, muscles, tissues, and systems.; Rubric: 1: Unaware | 2: Basic awareness | 3: Functional recall | 4: Detailed understanding | 5: Expert comprehension","I'm pretty good at naming all the main muscles and bones, and I can explain the basic function of each part of the nervous system.",4
"Facet: Anatomy knowledge; Definition: Anatomy knowledge refers to the understanding and recall of the structure, location, and interrelationships of the various components of the human body, including organs, bones, muscles, tissues, and systems.; Rubric: 1: Unaware | 2: Basic awareness | 3: Functional recall | 4: Detailed understanding | 5: Expert comprehension",I can accurately label almost every anatomical structure on a detailed diagram and describe their intricate connections and functions.,5
"Facet: Passive-Aggressive; Definition: Passive-aggressive behavior is the indirect expression of hostility, resistance, or resentment, often disguised by outward compliance, politeness, or feigned forgetfulness. It involves a discrepancy between what a person says and what they do, or between their overt and covert actions.; Rubric: 1: Direct | 2: Mildly Indirect | 3: Occasional Resistance | 4: Frequent Covert Hostility | 5: Chronic Sabotage","I'm upset that you didn't help with the dishes, and I'd like to discuss it now.",1
"Facet: Passive-Aggressive; Definition: Passive-aggressive behavior is the indirect expression of hostility, resistance, or resentment, often disguised by outward compliance, politeness, or feigned forgetfulness. It involves a discrepancy between what a person says and what they do, or between their overt and covert actions.; Rubric: 1: Direct | 2: Mildly Indirect | 3: Occasional Resistance | 4: Frequent Covert Hostility | 5: Chronic Sabotage","Oh, don't worry about the dishes, I'll just get to them whenever I have a spare moment... no rush at all.",2
"Facet: Passive-Aggressive; Definition: Passive-aggressive behavior is the indirect expression of hostility, resistance, or resentment, often disguised by outward compliance, politeness, or feigned forgetfulness. It involves a discrepancy between what a person says and what they do, or between their overt and covert actions.; Rubric: 1: Direct | 2: Mildly Indirect | 3: Occasional Resistance | 4: Frequent Covert Hostility | 5: Chronic Sabotage","Sure, I can help with that report, but I'm really swamped, so it might take a while to get to it, maybe by next week.",3
"Facet: Passive-Aggressive; Definition: Passive-aggressive behavior is the indirect expression of hostility, resistance, or resentment, often disguised by outward compliance, politeness, or feigned forgetfulness. It involves a discrepancy between what a person says and what they do, or between their overt and covert actions.; Rubric: 1: Direct | 2: Mildly Indirect | 3: Occasional Resistance | 4: Frequent Covert Hostility | 5: Chronic Sabotage","I'd love to help with your project, but I'm just so busy with *my* tasks, unlike some people who seem to have all the free time in the world.",4
"Facet: Passive-Aggressive; Definition: Passive-aggressive behavior is the indirect expression of hostility, resistance, or resentment, often disguised by outward compliance, politeness, or feigned forgetfulness. It involves a discrepancy between what a person says and what they do, or between their overt and covert actions.; Rubric: 1: Direct | 2: Mildly Indirect | 3: Occasional Resistance | 4: Frequent Covert Hostility | 5: Chronic Sabotage","I completely forgot about that deadline you mentioned for the presentation. I guess it just slipped my mind with everything else going on. Oh well, what's done is done.",5
"Facet: Presence of Spiritual Pain; Definition: Spiritual pain refers to suffering experienced when an individual's spiritual or existential well-being is challenged, disrupted, or feels profoundly disconnected. This can manifest as a loss of meaning, purpose, hope, a sense of guilt or shame related to spiritual beliefs, or a feeling of abandonment by a higher power, community, or one's inner self. It is distinct from, but often intersects with, religious belief.; Rubric: 1: Serene/Connected | 2: Minor Unease | 3: Moderate Distress | 4: Significant Anguish | 5: Profound Despair","Even with all the challenges, I still feel a deep sense of peace and connection to what truly matters in my life.",1
"Facet: Presence of Spiritual Pain; Definition: Spiritual pain refers to suffering experienced when an individual's spiritual or existential well-being is challenged, disrupted, or feels profoundly disconnected. This can manifest as a loss of meaning, purpose, hope, a sense of guilt or shame related to spiritual beliefs, or a feeling of abandonment by a higher power, community, or one's inner self. It is distinct from, but often intersects with, religious belief.; Rubric: 1: Serene/Connected | 2: Minor Unease | 3: Moderate Distress | 4: Significant Anguish | 5: Profound Despair","I've been feeling a bit unsettled lately, like something's just a little off with my sense of purpose, but it's not overwhelming.",2
"Facet: Presence of Spiritual Pain; Definition: Spiritual pain refers to suffering experienced when an individual's spiritual or existential well-being is challenged, disrupted, or feels profoundly disconnected. This can manifest as a loss of meaning, purpose, hope, a sense of guilt or shame related to spiritual beliefs, or a feeling of abandonment by a higher power, community, or one's inner self. It is distinct from, but often intersects with, religious belief.; Rubric: 1: Serene/Connected | 2: Minor Unease | 3: Moderate Distress | 4: Significant Anguish | 5: Profound Despair","I'm really struggling to find meaning in my life right now, and it's making me question a lot of things I used to believe in.",3
"Facet: Presence of Spiritual Pain; Definition: Spiritual pain refers to suffering experienced when an individual's spiritual or existential well-being is challenged, disrupted, or feels profoundly disconnected. This can manifest as a loss of meaning, purpose, hope, a sense of guilt or shame related to spiritual beliefs, or a feeling of abandonment by a higher power, community, or one's inner self. It is distinct from, but often intersects with, religious belief.; Rubric: 1: Serene/Connected | 2: Minor Unease | 3: Moderate Distress | 4: Significant Anguish | 5: Profound Despair","I feel completely lost and abandoned, like my spirit is broken, and I'm overwhelmed by a sense of emptiness.",4
"Facet: Presence of Spiritual Pain; Definition: Spiritual pain refers to suffering experienced when an individual's spiritual or existential well-being is challenged, disrupted, or feels profoundly disconnected. This can manifest as a loss of meaning, purpose, hope, a sense of guilt or shame related to spiritual beliefs, or a feeling of abandonment by a higher power, community, or one's inner self. It is distinct from, but often intersects with, religious belief.; Rubric: 1: Serene/Connected | 2: Minor Unease | 3: Moderate Distress | 4: Significant Anguish | 5: Profound Despair","There's just no hope left for me; my faith is shattered, and I feel an unbearable, crushing emptiness that nothing can fill.",5
"Facet: Role of Spirituality in Community Involvement; Definition: The extent to which an individual's spiritual beliefs, practices, and sense of transcendent purpose motivate and shape their active participation, contribution, and engagement within their local or broader community, often manifesting as service, advocacy, or collective action.; Rubric: 1: Disengaged | 2: Peripherally Motivated | 3: Occasionally Influenced | 4: Regularly Integrated | 5: Core-Driven Engagement","Honestly, my spiritual path is pretty personal, and I don't really see it connecting to what's happening in the neighborhood.",1
"Facet: Role of Spirituality in Community Involvement; Definition: The extent to which an individual's spiritual beliefs, practices, and sense of transcendent purpose motivate and shape their active participation, contribution, and engagement within their local or broader community, often manifesting as service, advocacy, or collective action.; Rubric: 1: Disengaged | 2: Peripherally Motivated | 3: Occasionally Influenced | 4: Regularly Integrated | 5: Core-Driven Engagement","Sometimes I'll help out with a food drive if my spiritual group organizes it, but it's not a regular thing for me otherwise.",2
"Facet: Role of Spirituality in Community Involvement; Definition: The extent to which an individual's spiritual beliefs, practices, and sense of transcendent purpose motivate and shape their active participation, contribution, and engagement within their local or broader community, often manifesting as service, advocacy, or collective action.; Rubric: 1: Disengaged | 2: Peripherally Motivated | 3: Occasionally Influenced | 4: Regularly Integrated | 5: Core-Driven Engagement","My faith encourages service, so I try to volunteer a few times a year, especially for causes that resonate with my values.",3
"Facet: Role of Spirituality in Community Involvement; Definition: The extent to which an individual's spiritual beliefs, practices, and sense of transcendent purpose motivate and shape their active participation, contribution, and engagement within their local or broader community, often manifesting as service, advocacy, or collective action.; Rubric: 1: Disengaged | 2: Peripherally Motivated | 3: Occasionally Influenced | 4: Regularly Integrated | 5: Core-Driven Engagement",My spiritual practice deeply informs my commitment to community service; I'm regularly involved in local initiatives and advocacy through my congregation.,4
"Facet: Role of Spirituality in Community Involvement; Definition: The extent to which an individual's spiritual beliefs, practices, and sense of transcendent purpose motivate and shape their active participation, contribution, and engagement within their local or broader community, often manifesting as service, advocacy, or collective action.; Rubric: 1: Disengaged | 2: Peripherally Motivated | 3: Occasionally Influenced | 4: Regularly Integrated | 5: Core-Driven Engagement","For me, community involvement isn't just an activity; it's an intrinsic expression of my spiritual calling to foster justice and compassion in the world.",5
"Facet: Structure; Definition: Structure, in a behavioral context, refers to an individual's preference for, or reliance on, order, organization, predictability, and clearly defined rules, processes, or guidelines in their environment, tasks, or interactions. It reflects the degree to which one seeks or creates systematic arrangements versus preferring flexibility or ambiguity.; Rubric: 1: Unstructured | 2: Flexible | 3: Accommodates | 4: Organizes | 5: Systematizes",I really hate having a strict schedule; I prefer to just see where the day takes me.,1
"Facet: Structure; Definition: Structure, in a behavioral context, refers to an individual's preference for, or reliance on, order, organization, predictability, and clearly defined rules, processes, or guidelines in their environment, tasks, or interactions. It reflects the degree to which one seeks or creates systematic arrangements versus preferring flexibility or ambiguity.; Rubric: 1: Unstructured | 2: Flexible | 3: Accommodates | 4: Organizes | 5: Systematizes","I don't mind having a general plan, but I'm totally fine if things change last minute.",2
"Facet: Structure; Definition: Structure, in a behavioral context, refers to an individual's preference for, or reliance on, order, organization, predictability, and clearly defined rules, processes, or guidelines in their environment, tasks, or interactions. It reflects the degree to which one seeks or creates systematic arrangements versus preferring flexibility or ambiguity.; Rubric: 1: Unstructured | 2: Flexible | 3: Accommodates | 4: Organizes | 5: Systematizes","While I don't always create detailed plans myself, I can certainly work within a given framework.",3
"Facet: Structure; Definition: Structure, in a behavioral context, refers to an individual's preference for, or reliance on, order, organization, predictability, and clearly defined rules, processes, or guidelines in their environment, tasks, or interactions. It reflects the degree to which one seeks or creates systematic arrangements versus preferring flexibility or ambiguity.; Rubric: 1: Unstructured | 2: Flexible | 3: Accommodates | 4: Organizes | 5: Systematizes",I usually like to have a clear agenda for meetings so we stay on track and know what to expect.,4
"Facet: Structure; Definition: Structure, in a behavioral context, refers to an individual's preference for, or reliance on, order, organization, predictability, and clearly defined rules, processes, or guidelines in their environment, tasks, or interactions. It reflects the degree to which one seeks or creates systematic arrangements versus preferring flexibility or ambiguity.; Rubric: 1: Unstructured | 2: Flexible | 3: Accommodates | 4: Organizes | 5: Systematizes","Before starting any new project, I always map out every step and create a detailed timeline.",5
"Facet: Eco-tourism trips; Definition: Eco-tourism trips refer to responsible travel to natural areas that conserves the environment, sustains the well-being of the local people, and involves interpretation and education. It emphasizes minimizing negative impacts while maximizing positive social, economic, and environmental benefits.; Rubric: 1: Unaware | 2: Passive | 3: Mindful | 4: Engaged | 5: Dedicated","I've heard the term 'eco-tourism,' but I honestly just pick my travel destinations based on price and how good the beaches look.",1
"Facet: Eco-tourism trips; Definition: Eco-tourism trips refer to responsible travel to natural areas that conserves the environment, sustains the well-being of the local people, and involves interpretation and education. It emphasizes minimizing negative impacts while maximizing positive social, economic, and environmental benefits.; Rubric: 1: Unaware | 2: Passive | 3: Mindful | 4: Engaged | 5: Dedicated","When I travel, I try to remember to turn off the lights when I leave the hotel room, and if there's a recycling option, I'll use it.",2
